"varObjCont" "Age_under19_Ptge" "Age_19_65_pct" "WomanPopulationPtge" "SameComAutonPtge" "SameComAutonDiffProvPtge" "SUPERFICIE" "prop_missings" "sqrtxAge_0.4_Ptge" "logxForeignersPtge" "logxUnemployLess25_Ptge" "logxUnemploy25_40_Ptge" "logxUnemployMore40_Ptge" "logxAgricultureUnemploymentPtge" "logxIndustryUnemploymentPtge" "logxConstructionUnemploymentPtge" "logxServicesUnemploymentPtge" "logxtotalEmpresas" "sqrtxPobChange_pct" "raiz4PersonasInmueble" "sqrtxExplotaciones"
"logxUnemployLess25_Ptge" -0.188659543871875 0.50464168684353 0.296562059082157 0.404909789329066 -0.0755974762041375 -0.0398658785659272 0.137220867887126 0.229763951642206 0.46194522126976 0.319874612396122 1 0.441160240544607 0.331725205401239 0.539320669768206 0.501458140873962 0.517574940932506 0.376150255863683 0.590739451252319 0.272756690983959 0.443742758182445 0.437735106007592
"logxUnemploy25_40_Ptge" -0.246940500598658 0.447871823631468 0.256341186532968 0.385826683429283 -0.0935581217742169 0.0417964584946208 0.082687420386851 0.134514899238092 0.47221773645688 0.369474960611595 0.441160240544607 1 0.385579544464992 0.455165697502777 0.476022218826398 0.474757213985179 0.624454836865002 0.581837777252873 0.252667551828317 0.379893036581935 0.327985046854764
"logxUnemployMore40_Ptge" -0.198958652935212 0.313328689447929 0.183174191267483 0.294943282862633 -0.0635887601098069 0.0196676893062255 0.0687398485163875 0.0899531849513924 0.32583202798694 0.273187281790688 0.331725205401239 0.385579544464992 1 0.364183645247447 0.42390216286484 0.441992885757643 0.67675576682782 0.470328956787269 0.175408206858057 0.278802273857199 0.257416986549258
"logxAgricultureUnemploymentPtge" -0.150578836366398 0.396802426008039 0.215907492057509 0.367041778731873 -0.0484283201956017 -0.011982426526795 0.159695848419923 0.189378155968916 0.38522250602713 0.315671867479818 0.539320669768206 0.455165697502777 0.364183645247447 1 0.432741303540705 0.451693109898312 0.300497518243622 0.531419397194435 0.177824669974628 0.370734505432709 0.48380861936948
"logxIndustryUnemploymentPtge" -0.295092248452618 0.508855797009662 0.289450294954777 0.393882311416994 -0.104633809786237 -0.0048503104237258 0.0881416658202427 0.209015573812047 0.493010831145758 0.340012431255386 0.501458140873962 0.476022218826398 0.42390216286484 0.432741303540705 1 0.463418847242642 0.345565330081016 0.605303068013926 0.261577259884938 0.429912507239868 0.380768167354412
"logxConstructionUnemploymentPtge" -0.204602434220141 0.419097213722365 0.248831943016273 0.370816125776158 -0.0888963066939491 -0.0191053453285034 0.122905850937849 0.198770704664114 0.407777920540556 0.29620646867886 0.517574940932506 0.474757213985179 0.441992885757643 0.451693109898312 0.463418847242642 1 0.352508733198612 0.565239579845323 0.239426695034218 0.374418183194491 0.386896355025541
"logxServicesUnemploymentPtge" -0.230106546871883 0.36000926377742 0.207892270435527 0.325270896496031 -0.0900410764708729 0.0399698415370021 0.0646470402067846 0.0819002026172589 0.377138556774933 0.304351109620298 0.376150255863683 0.624454836865002 0.67675576682782 0.300497518243622 0.345565330081016 0.352508733198612 1 0.488854425922497 0.210677701009945 0.301378603361386 0.252208282331141
"logxtotalEmpresas" -0.367825809259306 0.657243237014093 0.392661375629145 0.487390026757226 -0.151010176474617 0.0332798012178341 0.136062985705714 0.21030617839293 0.636279396754891 0.470147119114959 0.590739451252319 0.581837777252873 0.470328956787269 0.531419397194435 0.605303068013926 0.565239579845323 0.488854425922497 1 0.333500054416686 0.53797201945727 0.467975729279362
"sqrtxPobChange_pct" -0.258464314347767 0.51427275459422 0.395396654420114 0.202978597728 -0.132528999265313 0.0332942400124724 0.0022750845552019 0.204337962506488 0.520896106233968 0.251318461408472 0.272756690983959 0.252667551828317 0.175408206858057 0.177824669974628 0.261577259884938 0.239426695034218 0.210677701009945 0.333500054416686 1 0.409101421676461 0.0954623689079935
"raiz4PersonasInmueble" -0.326375526097664 0.621292073021889 0.397728613943831 0.407535127623275 0.0238631362034646 0.026325207068815 0.048195898424829 0.293407472183669 0.560610302954791 0.282468936563161 0.443742758182445 0.379893036581935 0.278802273857199 0.370734505432709 0.429912507239868 0.374418183194491 0.301378603361386 0.53797201945727 0.409101421676461 1 0.320976613321844
